id	Class	agey	hispn	white	black	asian	male	educ	trump	incomec	veg_diet	income	ecocatas	humabuse	ecocrisis	nep	famsec	honpar	selfdisc	trad	equal	socjust	peace	halt	resperth	protenv	unnat	balt	excit	curious	varied	open	infl	author	wealth	self	andig	pcruel	comp	animal	biovote	bioprice	biodon	biowts	climvote	climprice	climdon	climwts	anwbvote	anwbprice	anwbdon	anwbwts	SciThinking	BT.fam	sci_rel_-1	sci_rel_2	sci_rel_3	sci_rel_4	sci_rel_5	science	religiosity	politics	edu_cat	age_cat	edu_cat_STEM	race_cat	farm_c	farm_now	farm	ag_famil
79	c	66	0	1	0	0	0	5	0	60.25	1	3	4	5	5	4.666666508	5	5	4	4.666666508	5	5	4	4.666666508	5	5	5	5	3	4	5	4	4	3	3	3.333333254	5	5	4	4.666666508	5	3	3	3.666666746	5	4	4	4.333333492	5	3	3	3.666666746	1	2.8	3	2	4	2	4	3	3	1	2	3	2	1	0	1	1	2
80	d	24	0	1	0	0	0	4	0	37.5	2	2	5	5	4	4.666666508	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3.666666746	3	4	4	3.666666746	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	1	3	4	3	3	3	3	3	3	1.666666667	3	1	3	1	0	0	0	2
81	e	64	0	1	0	0	0	2	1	60.25	1	3	4	5	4	4.333333492	5	5	5	5	5	5	5	5	5	5	3	4.333333492	3	3	4	3.333333254	3	3	3	3	5	5	3	4.333333492	3	3	4	3.333333254	4	4	5	4.333333492	5	4	5	4.666666508	0.5	3.2	2	3	4	2	4	3.5	3.333333333	4.333333333	1	3	1	1	1	0	1	1
82	e	36	1	1	0	0	1	6	1	87.5	1	4	3	5	2	3.333333254	5	4	4	4.333333492	4	5	5	4.666666508	4	5	4	4.333333492	4	5	4	4.333333492	4	5	5	4.666666508	4	5	4	4.333333492	4	5	5	4.666666508	5	4	4	4.333333492	4	5	4	4.333333492	0.5	3	4	5	4	4	3	4.5	3.666666667	3	3	1	3	2	0	0	0	3
83	d	34	0	0	1	0	0	2	0	37.5	1	2	4	5	5	4.666666508	4	5	4	4.333333492	3	4	5	4	4	5	3	4	4	4	4	4	3	3	3	3	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	0.75	1.4	3	5	5	3	3	5	3	1	1	1	1	3	0	0	0	0
84	b	64	0	1	0	0	0	6	0	125	1	5	5	5	2	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.75	4.6	3	4	5	2	2	4.5	2	2.157528285	3	3	3	1	1	0	1	4
85	c	47	0	1	0	0	0	5	0	87.5	1	4	4	4	4	4	5	4	3	4	4	4	5	4.333333492	4	4	4	4	4	3	5	4	3	2	4	3	5	5	5	5	4	4	4	4	4	4	4	4	5	5	5	5	0.25	1	4	3	4	4	4	3.5	4	1	2	2	2	1	0	0	0	1
86	a	58	1	1	0	0	0	4	1	12.5	1	1	4	4	2	3.333333254	5	3	5	4.333333492	3	5	5	4.333333492	3	4	3	3.333333254	2	3	3	2.666666746	4	4	2	3.333333254	4	4	5	4.333333492	2	1	2	1.666666627	3	1	1	1.666666627	3	3	3	3	1	3.6	3	4	4	3	1	4	2.333333333	5	3	3	3	2	0	1	1	2
87	b	52	0	1	0	0	0	2	0	12.5	1	1	3	4	5	4	5	5	4	4.666666508	5	4	5	4.666666508	5	5	4	4.666666508	5	4	3	4	4	4	1	3	4	5	2	3.666666746	3	5	5	4.333333492	5	4	4	4.333333492	5	5	5	5	0.75	2	3	4	1	4	4	2.5	4	3.157528285	1	2	1	1	0	0	0	0
88	b	44	0	1	0	0	0	6	0	60.25	1	3	5	5	5	5	5	4	3	4	5	4	5	4.666666508	4	5	4	4.333333492	3	3	3	3	4	2	1	2.333333254	5	4	5	4.666666508	4	4	3	3.666666746	5	4	4	4.333333492	4	4	4	4	0.5	3.2	5	2	1	1	1	1.5	1.666666667	1	3	2	4	1	1	0	1	2
89	a	54	0	1	0	0	1	6	1	125	1	5	3	3	1	2.333333254	5	5	5	5	3	3	3	3	5	4	3	4	4	3	3	3.333333254	3	5	1	3	5	5	5	5	3	1	3	2.333333254	3	1	3	2.333333254	3	1	3	2.333333254	0.5	2.8	3	5	5	1	1	5	1	5.333333333	3	3	3	1	0	0	0	0
90	b	44	0	1	0	0	0	1	0	37.5	1	2	3	5	3	3.666666746	5	5	5	5	5	5	5	5	5	5	1	3.666666746	5	5	1	3.666666746	1	1	1	1	5	5	5	5	3	3	3	3	1	1	1	1	5	5	5	5	0.5	1	3	5	1	1	1	3	1	4.157528285	1	2	1	1	0	0	0	1
91	e	54	0	0	1	0	0	2	0	37.5	1	2	4	4	3	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	3.666666746	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	0.5	3.8	3	5	5	3	3	5	3	2.490861619	1	3	1	3	0	0	0	1
92	e	26	0	1	0	0	0	4	0	125	1	5	4	4	1	3	4	3	4	3.666666746	3	2	5	3.333333254	4	3	2	3	5	4	4	4.333333492	5	3	3	3.666666746	4	4	4	4	4	5	5	4.666666508	3	4	4	3.666666746	3	3	3	3	0.5	4	4	3	5	3	4	4	3.666666667	1.666666667	3	1	4	1	0	0	0	3
93	d	51	0	0	1	0	0	2	0	12.5	1	1	4	5	2	3.666666746	4	5	4	4.333333492	5	4	4	4.333333492	2	4	4	3.333333254	4	3	4	3.666666746	4	4	3	3.666666746	5	4	4	4.333333492	3	3	4	3.333333254	2	2	4	2.666666746	4	3	4	3.666666746	0.75	2.2	4	5	5	5	5	5	4.333333333	2	1	2	1	3	1	1	1	0
94	d	36	0	0	0	1	0	3	0	87.5	2	4	3	2	3	2.666666746	5	5	4	4.666666508	4	3	5	4	4	5	4	4.333333492	3	4	3	3.333333254	4	3	2	3	4	4	4	4	3	4	4	3.666666746	5	5	5	5	5	5	5	5	0.25	3.2	4	3	3	4	4	3	4	4.157528285	2	1	2	4	0	0	0	3
95	d	64	0	1	0	0	1	2	1	37.5	1	2	3	4	1	2.666666746	3	4	4	3.666666746	5	5	4	4.666666508	4	4	4	4	5	5	4	4.666666508	4	3	4	3.666666746	4	4	5	4.333333492	4	3	3	3.333333254	4	5	4	4.333333492	5	4	4	4.333333492	0	4.2	3	5	5	2	2	5	2.333333333	4	1	3	1	1	0	0	0	2
96	d	64	0	1	0	0	1	4	1	12.5	1	1	3	3	1	2.333333254	3	3	5	3.666666746	3	3	3	3	4	3	4	3.666666746	3	3	3	3	3	3	3	3	4	5	3	4	4	2	3	3	1	1	1	1	3	2	2	2.333333254	0.75	5	2	1	1	3	3	1	3	4	3	3	4	1	0	0	0	2
97	e	25	0	0	1	0	0	5	0	37.5	1	2	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4.333333492	4	4	4	4	4	4	4	4	0.75	5	5	5	5	5	5	5	5	1	2	1	2	3	0	0	0	4
98	c	53	0	0	0	0	1	4	0	12.5	1	1	4	5	4	4.333333492	4	3	2	3	5	4	4	4.333333492	4	3	3	3.333333254	4	4	3	3.666666746	2	2	2	2	4	5	3	4	3	1	4	2.666666746	3	1	4	2.666666746	3	1	3	2.333333254	1	1	3	1	1	2	2	1	2.666666667	3.157528285	3	3	3	0	0	0	0	0
99	c	30	0	1	0	0	0	3	0	37.5	1	2	2	3	2	2.333333254	5	4	4	4.333333492	4	4	5	4.333333492	3	2	4	3	3	5	3	3.666666746	2	2	1	1.666666627	4	3	4	3.666666746	3	3	2	2.666666746	3	3	2	2.666666746	4	4	4	4	0.5	1.2	4	5	5	1	2	5	2	3.824194952	2	1	2	1	0	0	0	1
100	d	25	0	1	0	0	0	5	0	12.5	1	1	3	5	3	3.666666746	5	4	4	4.333333492	2	4	4	3.333333254	4	3	4	3.666666746	4	4	4	4	4	3	2	3	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	0.25	1.2	3	5	5	3	3	5	3	2.490861619	2	1	2	1	1	0	1	1
101	c	51	0	1	0	0	0	4	0	125	1	5	4	5	4	4.333333492	5	5	4	4.666666508	5	4	4	4.333333492	5	5	5	5	4	5	5	4.666666508	5	4	2	3.666666746	5	4	4	4.333333492	4	4	4	4	4	4	4	4	4	4	4	4	0.25	2.4	3	1	3	2	2	2	2.666666667	2.333333333	3	2	3	1	0	0	0	0
102	b	56	0	1	0	0	1	2	1	37.5	1	2	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4.666666508	1	3	3	2.333333254	5	5	3	4.333333492	3	3	3	3	4	3	3	3.333333254	4	3	3	3.333333254	0.75	1.6	4	3	4	2	2	3.5	2	4	1	3	1	1	0	0	0	0
103	e	47	0	0	0	1	0	6	0	125	2	5	4	4	3	3.666666746	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3.333333254	4	4	4	4	4	4	4	4	4	4	3	3.666666746	4	4	3	3.666666746	4	4	3	3.666666746	0.25	2	4	2	4	4	4	3	4	2.490861619	3	2	3	4	0	0	0	0
104	e	35	0	1	0	0	1	6	1	125	1	5	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	5	5	5	5	5	5	5	5	3.333333333	3	1	4	1	0	0	0	4
105	c	68	0	1	0	0	0	2	0	12.5	1	1	4	4	3	3.666666746	4	5	4	4.333333492	5	4	5	4.666666508	4	4	4	4	2	3	1	2	4	1	4	3	5	5	4	4.666666508	3	3	3	3	3	3	3	3	3	4	3	3.333333254	0.5	1	3	4	4	4	4	4	4	2.824194952	1	3	1	1	0	0	0	0
106	c	52	0	1	0	0	1	4	0	37.5	1	2	4	5	5	4.666666508	4	4	4	4	5	4	5	4.666666508	4	4	4	4	4	4	4	4	4	2	2	2.666666746	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.5	1.2	4	1	1	2	4	1	3.333333333	3.157528285	3	2	4	1	0	0	0	2
107	e	31	1	1	0	0	1	4	0	87.5	2	4	5	4	1	3.333333254	4	5	4	4.333333492	4	4	4	4	5	4	5	4.666666508	4	4	5	4.333333492	4	5	5	4.666666508	5	5	5	5	5	4	5	4.666666508	4	5	5	4.666666508	4	5	4	4.333333492	0.5	5	5	5	5	4	5	5	4.333333333	1	3	1	3	2	0	0	0	4
108	d	48	0	0	0	1	0	6	0	60.25	1	3	3	4	2	3	5	5	5	5	5	5	5	5	4	5	4	4.333333492	4	4	4	4	4	2	3	3	3	3	3	3	4	2	3	3	4	2	3	3	3	2	3	2.666666746	0.75	3	4	2	5	1	3	3.5	2.666666667	3	3	2	3	4	0	0	0	0
109	a	49	0	1	0	0	0	2	0	12.5	1	1	3	5	3	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	2.333333254	5	5	5	5	3	1	1	1.666666627	3	1	1	1.666666627	4	1	1	2	0.25	2.6	5	5	5	3	3	5	3	3.157528285	1	2	1	1	1	0	1	2
110	c	65	0	1	0	0	0	5	1	87.5	1	4	5	5	4	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.25	3.6	4	5	5	5	5	5	5	4.333333333	2	3	2	1	1	0	1	2
111	d	32	0	1	0	0	0	2	0	37.5	1	2	4	4	2	3.333333254	5	5	5	5	5	4	5	4.666666508	4	5	4	4.333333492	4	4	4	4	4	4	4	4	5	5	5	5	3	3	3	3	3	3	3	3	5	5	5	5	0.75	1	4	3	2	4	4	2.5	4	3.157528285	1	1	1	1	0	0	0	2
112	a	53	0	0	1	0	0	5	0	12.5	1	1	4	5	5	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	2	4	3.333333254	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	4	3	1	1	2	3	1	2.333333333	2.333333333	2	3	2	3	0	0	0	1
113	d	37	0	1	0	0	1	2	0	60.25	1	3	4	2	2	2.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	0.25	2.2	4	4	4	4	4	4	4	3.157528285	1	1	1	1	0	0	0	2
114	c	44	0	1	0	0	0	1	0	12.5	1	1	5	5	4	4.666666508	5	4	5	4.666666508	5	5	3	4.333333492	4	4	3	3.666666746	3	4	5	4	4	3	4	3.666666746	5	5	4	4.666666508	3	2	3	2.666666746	3	3	3	3	3	5	4	4	0.5	2.4	4	5	4	3	2	4.5	3	1.490861619	1	2	1	1	0	0	0	1
115	e	78	0	1	0	0	1	5	1	60.25	1	3	3	4	2	3	5	5	4	4.666666508	5	4	5	4.666666508	4	4	4	4	4	4	4	4	4	3	3	3.333333254	5	5	5	5	4	3	3	3.333333254	3	3	2	2.666666746	3	3	4	3.333333254	0.5	1.8	4	4	4	3	4	4	3.333333333	4	2	4	2	1	1	0	1	1
116	a	62	0	1	0	0	1	4	0	37.5	1	2	3	4	4	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	4	4	3	3.666666746	3	4	4	3.666666746	5	5	4	4.666666508	3	3	1	2.333333254	5	3	3	3.666666746	5	3	2	3.333333254	1	1.6	5	3	1	4	3	2	4	3.490861619	3	3	3	1	0	0	0	0
117	e	22	1	1	0	0	1	2	1	125	3	5	5	5	1	3.666666746	5	5	5	5	4	3	4	3.666666746	5	4	4	4.333333492	4	4	5	4.333333492	5	4	3	4	4	5	4	4.333333492	5	4	5	4.666666508	4	4	4	4	5	5	4	4.666666508	0.5	4.6	5	4	5	5	5	4.5	5	2.333333333	1	1	1	2	0	0	0	3
118	d	67	0	1	0	0	1	5	1	125	1	5	4	4	3	3.666666746	4	4	3	3.666666746	4	4	4	4	4	3	4	3.666666746	4	4	4	4	4	4	2	3.333333254	4	4	4	4	3	3	4	3.333333254	4	3	2	3	4	3	4	3.666666746	0.5	3.2	4	4	3	2	2	3.5	2	3.666666667	2	3	2	1	1	1	1	0
120	c	32	0	1	0	0	0	4	0	37.5	1	2	4	4	5	4.333333492	5	4	5	4.666666508	5	4	5	4.666666508	4	4	4	4	2	5	2	3	2	2	2	2	4	4	4	4	3	4	3	3.333333254	5	4	5	4.666666508	4	4	3	3.666666746	1	2.8	5	1	1	4	4	1	4	1.666666667	3	1	3	1	0	0	0	1
121	e	60	1	1	0	0	1	4	1	60.25	1	3	4	4	4	4	5	5	3	4.333333492	4	3	5	4	4	4	4	4	1	3	2	2	1	2	1	1.333333373	5	4	4	4.333333492	3	2	3	2.666666746	5	2	4	3.666666746	4	3	4	3.666666746	0.75	3.2	3	5	5	3	4	5	3.666666667	5	3	3	4	2	0	0	0	1
122	e	33	1	1	0	0	1	1	1	125	1	5	5	4	1	3.333333254	3	5	5	4.333333492	5	3	5	4.333333492	4	5	4	4.333333492	5	5	4	4.666666508	5	5	5	5	4	4	3	3.666666746	5	4	5	4.666666508	5	3	4	4	5	3	5	4.333333492	0.75	4.8	4	5	5	5	5	5	5	3	1	1	1	2	1	1	1	4
123	c	72	0	1	0	0	0	4	1	60.25	1	3	4	4	3	3.666666746	5	4	4	4.333333492	4	5	5	4.666666508	4	4	3	3.666666746	4	5	4	4.333333492	4	2	4	3.333333254	5	5	5	5	4	4	3	3.666666746	4	4	3	3.666666746	5	5	5	5	0.75	1.4	4	2	4	3	3	3	3	4.666666667	3	4	4	1	0	0	0	1
124	d	48	1	0	0	0	1	4	0	37.5	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	2	3	2	3	2	0	0	0	2
125	c	47	0	1	0	0	0	5	1	37.5	1	2	5	4	4	4.333333492	5	5	4	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4.333333492	5	5	5	5	4	4	4	4	4	4	4	4	3	4	4	3.666666746	0.5	3.2	3	3	3	3	2	3	3	3.666666667	2	2	2	1	0	1	1	2
126	d	45	0	1	0	0	0	4	1	125	1	5	4	4	3	3.666666746	4	4	4	4	4	4	4	4	4	3	4	3.666666746	4	3	4	3.666666746	4	4	3	3.666666746	4	5	4	4.333333492	3	3	3	3	3	3	3	3	3	3	3	3	0.75	3	4	3	4	1	3	3.5	2	4	3	2	3	1	0	0	0	1
127	b	69	0	1	0	0	0	2	1	125	1	5	3	4	2	3	5	5	5	5	5	5	5	5	4	5	5	4.666666508	5	5	5	5	5	5	3	4.333333492	5	5	5	5	3	3	2	2.666666746	3	2	2	2.333333254	4	4	4	4	1	2.2	2	2	4	4	4	3	4	4.666666667	1	3	1	1	0	0	0	0
128	c	25	1	0	0	0	1	4	0	125	1	5	2	4	4	3.333333254	4	1	1	2	2	3	5	3.333333254	3	4	3	3.333333254	2	5	4	3.666666746	1	2	2	1.666666627	5	5	5	5	1	4	4	3	2	3	5	3.333333254	3	2	5	3.333333254	0.5	1.2	2	1	2	5	4	1.5	4	1	3	1	3	2	1	0	1	4
129	e	32	0	0	0	1	1	4	0	87.5	2	4	5	5	5	5	5	5	4	4.666666508	5	5	4	4.666666508	5	5	5	5	4	5	5	4.666666508	4	3	4	3.666666746	5	5	4	4.666666508	4	4	4	4	5	3	3	3.666666746	5	4	4	4.333333492	0.5	4.8	5	2	5	4	1	3.5	3.333333333	2.333333333	3	1	3	4	0	0	0	2
130	d	44	0	1	0	0	0	2	0	60.25	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3	3	3	5	5	5	5	3	3	3	3	3	3	3	3	5	5	5	5	0.25	2.6	5	1	1	3	3	1	3	3.157528285	1	2	1	1	0	1	1	1
131	c	37	0	1	0	0	0	2	0	12.5	1	1	4	5	4	4.333333492	5	5	5	5	4	3	4	3.666666746	5	5	3	4.333333492	5	5	5	5	3	3	4	3.333333254	5	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	0.25	2.6	3	1	2	3	3	1.5	3	2.824194952	1	1	1	1	0	1	1	1
132	b	68	0	1	0	0	0	3	0	12.5	1	1	4	4	4	4	5	5	5	5	5	4	5	4.666666508	5	5	5	5	2	4	3	3	3	2	1	2	5	5	5	5	4	2	2	2.666666746	4	3	4	3.666666746	4	3	4	3.666666746	0.25	1	4	4	4	2	2	4	2.333333333	3.157528285	2	3	2	1	1	1	1	0
133	b	70	0	1	0	0	0	4	1	37.5	1	2	3	1	1	1.666666627	5	5	5	5	3	2	5	3.333333254	4	5	4	4.333333492	2	5	5	4	5	4	2	3.666666746	5	5	4	4.666666508	4	1	3	2.666666746	1	1	1	1	4	4	2	3.333333254	0.75	3.4	5	4	5	2	3	4.5	2	5.333333333	3	3	3	1	0	0	0	1
134	c	65	0	1	0	0	1	5	0	60.25	1	3	4	4	3	3.666666746	5	4	5	4.666666508	4	5	5	4.666666508	5	5	5	5	3	4	3	3.333333254	3	1	3	2.333333254	4	4	3	3.666666746	4	3	3	3.333333254	4	4	3	3.666666746	4	4	3	3.666666746	0.5	2.2	4	2	1	2	1	1.5	2	2	2	3	2	1	0	0	0	0
135	b	45	0	1	0	0	0	5	0	60.25	1	3	4	4	3	3.666666746	5	5	4	4.666666508	5	5	5	5	3	4	4	3.666666746	4	4	3	3.666666746	3	4	3	3.333333254	4	4	5	4.333333492	3	3	4	3.333333254	3	3	3	3	4	3	3	3.333333254	1	2	3	3	4	3	3	3.5	3	2.666666667	2	2	2	1	0	0	0	1
136	e	30	1	0	0	1	0	4	0	87.5	3	4	3	4	2	3	3	4	5	4	4	5	5	4.666666508	3	4	5	4	3	4	4	3.666666746	5	5	4	4.666666508	3	4	5	4	4	4	5	4.333333492	3	3	4	3.333333254	3	4	5	4	0.5	5	3	5	4	4	5	4.5	4	2.333333333	3	1	4	4	0	1	1	3
137	b	25	1	1	0	0	0	4	0	60.25	1	3	4	4	5	4.333333492	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	4	3.666666746	5	5	5	5	4	3	4	3.666666746	4	4	4	4	4	5	4	4.333333492	0.25	1.8	3	1	1	2	2	1	3	1	3	1	3	2	1	1	1	0
138	e	49	0	0	0	0	1	1	1	37.5	1	2	4	5	4	4.333333492	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	4	4	4	2	3.333333254	5	3	4	4	4	4	5	4.333333492	4	5	4	4.333333492	5	5	5	5	0.5	1	4	5	5	2	2	5	2.666666667	3	1	2	1	5	1	1	1	2
139	c	21	0	0	0	1	0	5	0	60.25	1	3	4	5	5	4.666666508	5	4	5	4.666666508	5	4	5	4.666666508	5	4	2	3.666666746	5	5	5	5	5	4	4	4.333333492	3	4	1	2.666666746	4	5	4	4.333333492	5	5	4	4.666666508	3	5	4	4	0.75	3.4	5	1	5	1	3	3	2.666666667	3.157528285	2	1	2	4	0	0	0	0
140	a	49	0	0	1	0	0	4	1	12.5	1	1	3	4	3	3.333333254	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	4	4	3.666666746	3	4	4	3.666666746	5	4	4	4.333333492	0.5	2.8	5	5	5	3	3	5	3	4.666666667	3	2	3	3	1	1	1	0
141	b	44	0	1	0	0	0	2	1	60.25	1	3	4	4	3	3.666666746	5	5	4	4.666666508	4	4	5	4.333333492	4	4	4	4	2	3	3	2.666666746	4	2	2	2.666666746	4	5	4	4.333333492	4	2	4	3.333333254	4	2	4	3.333333254	4	2	4	3.333333254	0.5	1.4	4	5	5	4	4	5	4	2.666666667	1	2	1	1	0	0	0	1
142	d	67	0	1	0	0	1	6	1	87.5	1	4	2	4	3	3	5	4	3	4	4	4	3	3.666666746	4	3	2	3	4	3	4	3.666666746	3	3	2	2.666666746	3	3	3	3	1	2	2	1.666666627	3	3	2	2.666666746	3	3	3	3	1	2.2	4	4	4	3	3	4	3	4.666666667	3	3	3	1	0	0	0	1
143	c	48	0	0	0	1	0	4	0	87.5	1	4	4	4	2	3.333333254	4	3	4	3.666666746	3	3	3	3	4	4	4	4	3	3	3	3	3	4	3	3.333333254	4	3	3	3.333333254	4	4	4	4	4	3	4	3.666666746	3	3	3	3	0.5	3.6	4	1	1	4	3	1	3.666666667	1.157528285	3	2	3	4	0	0	0	2
144	e	27	0	1	0	0	1	2	0	12.5	1	1	5	5	1	3.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.75	2.4	5	5	3	5	4	4	4.333333333	3.157528285	1	1	1	1	0	0	0	1
145	e	45	1	1	0	0	1	2	0	12.5	1	1	4	4	2	3.333333254	4	3	3	3.333333254	3	3	4	3.333333254	4	3	4	3.666666746	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	5	4	0.25	4.2	3	4	5	5	4	4.5	4.666666667	3.333333333	1	2	1	2	0	0	0	3
146	d	74	0	0	0	0	1	4	1	60.25	1	3	2	4	3	3	5	5	5	5	5	1	1	2.333333254	5	4	5	4.666666508	4	5	5	4.666666508	1	1	1	1	5	3	5	4.333333492	4	3	4	3.666666746	4	3	4	3.666666746	4	2	2	2.666666746	1	2.6	1	3	1	3	1	2	2.333333333	3.333333333	3	4	4	5	1	0	1	4
147	d	52	0	0	1	0	0	2	0	12.5	1	1	5	4	4	4.333333492	5	5	5	5	3	5	3	3.666666746	5	3	2	3.333333254	5	4	3	4	4	5	4	4.333333492	5	5	2	4	5	1	3	3	4	3	5	4	3	1	5	3	0.5	4.2	1	5	5	4	1	5	2.666666667	1.666666667	1	2	1	3	0	0	0	2
148	d	33	0	1	0	0	0	1	0	37.5	1	2	4	5	4	4.333333492	5	5	5	5	5	3	5	4.333333492	5	5	5	5	4	3	5	4	3	3	4	3.333333254	5	5	5	5	3	5	4	4	3	4	5	4	3	4	5	4	0.5	2.4	4	4	4	3	3	4	3	3.490861619	1	1	1	1	0	0	0	3
149	d	22	0	0	1	0	1	2	0	12.5	1	1	4	4	2	3.333333254	5	5	4	4.666666508	3	4	4	3.666666746	2	4	3	3	3	5	4	4	4	3	5	4	3	3	4	3.333333254	4	5	3	4	3	3	2	2.666666746	5	4	4	4.333333492	0.75	4.4	4	4	2	5	3	3	4	2	1	1	1	3	0	0	0	1
150	e	24	1	1	0	0	1	4	1	125	2	5	4	5	1	3.333333254	5	4	4	4.333333492	4	4	5	4.333333492	5	5	4	4.666666508	4	5	5	4.666666508	5	5	4	4.666666508	5	4	5	4.666666508	5	5	5	5	5	5	5	5	5	5	5	5	0.5	4.6	5	3	4	5	5	3.5	5	3.333333333	3	1	3	2	0	0	0	4
151	d	30	0	0	1	0	0	3	0	12.5	1	1	3	3	3	3	5	5	5	5	5	5	5	5	3	5	5	4.333333492	5	3	1	3	5	5	1	3.666666746	5	5	2	4	3	3	3	3	3	3	3	3	3	3	3	3	0.25	3	4	5	4	1	1	4.5	1	3.824194952	2	1	2	3	1	1	1	1
152	a	47	0	0	1	0	0	5	0	37.5	1	2	4	5	5	4.666666508	5	5	5	5	4	5	5	4.666666508	5	5	4	4.666666508	3	3	4	3.333333254	4	4	4	4	4	4	3	3.666666746	3	3	3	3	4	3	3	3.333333254	4	3	3	3.333333254	0.25	1.8	4	3	2	2	2	2.5	2.333333333	2.490861619	2	2	2	5	0	0	0	1
153	d	61	0	1	0	0	0	5	1	60.25	1	3	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.5	3	3	3	3	3	3	3	3	3.333333333	2	3	2	1	0	0	0	2
154	c	71	0	1	0	0	1	4	0	87.5	1	4	4	5	3	4	4	3	5	4	4	4	3	3.666666746	4	3	4	3.666666746	5	4	4	4.333333492	3	4	3	3.333333254	2	3	3	2.666666746	3	2	5	3.333333254	3	4	3	3.333333254	4	5	3	4	0.5	3.8	4	4	5	4	3	4.5	3	1	3	3	3	1	0	0	0	0
155	c	57	0	1	0	0	1	2	0	37.5	1	2	4	4	3	3.666666746	5	5	5	5	5	4	5	4.666666508	5	4	4	4.333333492	4	4	4	4	3	1	3	2.333333254	5	5	5	5	4	4	3	3.666666746	4	4	3	3.666666746	4	4	3	3.666666746	1	1.4	4	3	2	3	3	2.5	3	2.333333333	1	3	1	1	0	0	0	0
156	d	55	0	1	0	0	0	1	0	12.5	1	1	3	2	3	2.666666746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	4.333333492	4	5	5	4.666666508	5	5	5	5	0.25	2.2	1	5	5	3	3	5	3.666666667	4.157528285	1	3	1	1	0	0	0	0
157	c	57	0	1	0	0	0	5	0	12.5	2	1	5	5	5	5	5	3	4	4	4	5	5	4.666666508	5	5	5	5	4	4	5	4.333333492	4	3	3	3.333333254	5	5	5	5	3	3	3	3	5	5	5	5	5	5	5	5	0.25	2.6	5	1	1	3	3	1	3	3.157528285	2	3	2	1	0	0	0	2
158	b	80	0	1	0	0	1	3	1	12.5	1	1	3	4	2	3	5	5	4	4.666666508	5	4	4	4.333333492	4	4	4	4	4	5	4	4.333333492	4	3	3	3.333333254	5	5	4	4.666666508	4	3	4	3.666666746	3	3	4	3.333333254	4	3	3	3.333333254	0.25	3.4	4	3	4	3	2	3.5	3	3.333333333	2	4	2	1	1	0	1	1
